MulSimple, MulCache, SumnSimple, SumnRetursion, SumnOP, SumnStep2, CompilerMul, CompilerSum, Muln, Sumn, iterations
0.0637474,0.0783114,0.00014054,0.00026209,0.00019464,7.383e-05,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,200,6,100
0.277339,0.316899,0.00044668,0.00059683,0.0005112,0.00020726,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,400,8,100
0.661052,0.740509,0.00106761,0.00182696,0.00163201,0.00072635,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,600,10,100
1.2723,1.21216,0.00385697,0.00655208,0.00561345,0.00286627,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,800,12,100
2.1042,1.86335,0.0159011,0.0244534,0.0226077,0.0110445,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,1000,14,100
3.43961,2.66588,0.0603219,0.100732,0.0929303,0.0432733,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,1200,16,100
5.33126,3.70675,0.235174,0.360324,0.337153,0.168033,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,1400,18,100
9.47185,4.68074,0.917212,1.40312,1.32136,0.672732,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,1600,20,100
14.3985,5.88978,3.64863,5.60145,5.45913,2.77725,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,1800,22,100
19.1696,7.32523,14.6116,22.3886,22.1303,11.2466,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,2000,24,100
23.8454,9.09637,57.0199,88.1044,87.6464,42.8785,g++ -o sumn Sumn.cpp,g++ -o mmul MMul.cpp,2200,26,100
0.068181,0.0782094,0.00014477,0.00027257,0.00019738,7.56e-05,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,200,6,100
0.264911,0.303003,0.00031043,0.00057541,0.00047649,0.00019733,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,400,8,100
0.637305,0.698353,0.00113896,0.00177268,0.00168879,0.00072641,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,600,10,100
1.41446,1.32627,0.00410662,0.00645897,0.00594274,0.00340071,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,800,12,100
2.33189,1.95505,0.0172245,0.0245571,0.0243901,0.0109123,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,1000,14,100
3.20163,2.65178,0.0589234,0.095499,0.0844121,0.0426115,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,1200,16,100
4.47261,3.53982,0.233284,0.352122,0.331477,0.168327,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,1400,18,100
10.3804,4.69747,0.913983,1.41076,1.31768,0.678922,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,1600,20,100
14.5187,5.84605,3.58954,5.50784,5.29912,2.71887,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,1800,22,100
19.5276,7.26039,14.3578,22.0178,21.5186,11.125,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,2000,24,100
24.5029,9.01984,58.4261,91.2147,91.8555,43.9424,g++ -pthread -o sumn Sumn.cpp,g++ -pthread -o mmul MMul.cpp,2200,26,100
0.0206231,0.0195581,6.802e-05,0.00017066,0.00010687,2.113e-05,g++ -O2 -pthread -o sumn Sumn.cpp,g++ -O2 -pthread -o mmul MMul.cpp,200,6,100
